PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSITION
1641810,Antonio Reeves,NOP,24.0,44,15.0,6.9,1.4,0.9,0.5,0.1,0.7,0.456,0.395,0.8,0.4,1.0,107.3,117.5,-10.2,0.089,1.3,11.8,0.026,0.07,0.047,9.1,0.558,0.579,0.183,101.12,0.072,
1630574,Ariel Hukporti,NYK,23.0,25,8.7,1.9,2.0,0.4,0.0,0.6,0.8,0.677,0.0,0.462,0.6,1.5,97.6,110.1,-12.4,0.075,0.52,15.9,0.066,0.151,0.112,30.4,0.677,0.654,0.113,102.57,0.048,
1641709,Ausar Thompson,DET,22.0,59,22.5,10.1,5.1,2.3,1.7,0.7,1.4,0.535,0.224,0.641,1.9,3.3,113.1,109.2,4.0,0.139,1.68,18.2,0.081,0.139,0.11,10.8,0.547,0.568,0.185,102.76,0.104,
1630559,Austin Reaves,LAL,27.0,73,34.9,20.2,4.5,5.8,1.1,0.3,2.4,0.46,0.377,0.877,0.8,3.7,117.1,113.3,3.8,0.241,2.38,23.6,0.025,0.101,0.065,9.9,0.556,0.616,0.23,99.86,0.118,
1630245,Ayo Dosunmu,CHI,25.0,46,30.3,12.3,3.5,4.5,0.9,0.4,1.5,0.492,0.328,0.785,0.6,2.9,110.1,117.8,-7.7,0.21,3.01,27.4,0.018,0.09,0.054,9.1,0.561,0.585,0.163,104.63,0.084,
1628389,Bam Adebayo,MIA,27.0,78,34.3,18.1,9.6,4.3,1.3,0.7,2.1,0.485,0.357,0.765,2.4,7.2,110.9,110.8,0.1,0.204,2.09,19.2,0.069,0.214,0.141,9.2,0.521,0.561,0.232,97.02,0.137,
1631248,Baylor Scheierman,BOS,24.0,31,12.4,3.6,2.1,1.1,0.5,0.1,0.4,0.355,0.317,0.75,0.6,1.5,109.9,105.8,4.1,0.12,2.75,20.5,0.048,0.117,0.083,7.5,0.473,0.49,0.143,95.28,0.074,
1641767,Ben Sheppard,IND,23.0,63,19.5,5.3,2.8,1.3,0.6,0.2,0.3,0.418,0.342,0.889,0.7,2.1,111.2,113.4,-2.2,0.087,3.86,21.0,0.035,0.106,0.07,5.4,0.537,0.555,0.108,102.92,0.055,
1627732,Ben Simmons,LAC,28.0,51,22.0,5.0,4.7,5.6,0.7,0.5,2.0,0.52,0.0,0.727,0.9,3.8,111.7,113.5,-1.8,0.358,2.79,45.7,0.043,0.184,0.113,16.3,0.52,0.539,0.133,98.17,0.103,
1631097,Bennedict Mathurin,IND,23.0,72,29.9,16.1,5.3,1.9,0.7,0.3,1.9,0.458,0.34,0.831,1.2,4.1,113.8,112.2,1.6,0.09,1.01,10.7,0.041,0.133,0.088,10.6,0.516,0.579,0.222,101.52,0.092,
